Rank	Article	href													Views	 %-Mobi	 %-Zero
138	The Walking Dead (season 8)	/wiki/The_Walking_Dead_(season_8)						Symbol start class.svg							163,696	49.96%	0.45%
139	David Harbour	/wiki/David_Harbour						Symbol start class.svg							163,463	69.76%	0.18%
140	Chris Hemsworth	/wiki/Chris_Hemsworth					Symbol c class.svg						Padlock-silver.svg		163,412	72.42%	0.71%
141	Black Friday (shopping)	/wiki/Black_Friday_(shopping)					Symbol c class.svg								162,673	52.40%	1.41%
142	Howards End	/wiki/Howards_End					Symbol c class.svg								162,399	77.92%	0.03%
143	Joe Keery	/wiki/Joe_Keery								Symbol question.svg					160,918	72.17%	0.13%
144	Facebook	/wiki/Facebook				Symbol b class.svg						Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	160,479	47.01%	2.77%
145	Freddie Highmore	/wiki/Freddie_Highmore					Symbol c class.svg								160,193	79.32%	0.30%
146	[[Zo�� Kravitz]]													159,585	76.85%	0.41%
147	Ed Sheeran	/wiki/Ed_Sheeran				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg		159,529	61.25%	0.82%
148	United Kingdom	/wiki/United_Kingdom				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	158,102	48.16%	0.99%
149	YouTube	/wiki/YouTube		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	157,756	53.99%	1.75%
150	Batman v Superman: Dawn of Justice	/wiki/Batman_v_Superman:_Dawn_of_Justice					Symbol c class.svg			Symbol question.svg					157,722	60.79%	0.60%
151	Paradise Papers	/wiki/Paradise_Papers					Symbol c class.svg								156,308	45.66%	1.09%
152	Get Out (film)	/wiki/Get_Out_(film)					Symbol c class.svg								155,885	64.07%	0.31%
153	Michael Jackson	/wiki/Michael_Jackson	Featured article star.svg										Padlock-blue.svg	Padlock-olive.svg	155,151	61.97%	1.22%
154	Tommy Wiseau	/wiki/Tommy_Wiseau						Symbol start class.svg					Padlock-silver-light.svg		153,612	50.24%	0.05%
155	FIFA World Cup	/wiki/FIFA_World_Cup	Featured article star.svg										Padlock-silver.svg		152,567	53.11%	1.23%
156	The Disaster Artist (film)	/wiki/The_Disaster_Artist_(film)					Symbol c class.svg								152,120	46.26%	0.10%
157	Al-Bassa	/wiki/Al-Bassa				Symbol b class.svg							Padlock-blue.svg		151,969	0.03%	0.00%
158	Al-Bassah	/wiki/Al-Bassah							Symbol stub class.svg						151,894	0.00%	0.00%
159	Periodic table	/wiki/Periodic_table	Featured article star.svg								Featured article star - cross.svg		Padlock-silver.svg		151,671	60.02%	0.63%
160	Star Wars: The Last Jedi	/wiki/Star_Wars:_The_Last_Jedi					Symbol c class.svg						Padlock-silver.svg		151,488	51.86%	0.31%
161	Jeremiah Tower	/wiki/Jeremiah_Tower						Symbol start class.svg		Symbol question.svg					150,566	79.79%	0.01%
162	Marvel Cinematic Universe	/wiki/Marvel_Cinematic_Universe		Symbol support vote.svg									Padlock-silver.svg		149,185	52.07%	0.35%
163	Charles Salvador	/wiki/Charles_Salvador					Symbol c class.svg								147,892	76.63%	0.11%
164	Pornhub	/wiki/Pornhub					Symbol c class.svg						Padlock-silver.svg		147,339	73.65%	1.52%
165	Mia Khalifa	/wiki/Mia_Khalifa		Symbol support vote.svg									Padlock-silver.svg		147,240	80.24%	1.86%
166	Al-Buwaydah	/wiki/Al-Buwaydah							Symbol stub class.svg						147,126	0.01%	0.00%
166	Buwaydah	/wiki/Buwaydah							Symbol stub class.svg						147,126	0.00%	0.00%
168	The Walking Dead (TV series)	/wiki/The_Walking_Dead_(TV_series)		Symbol support vote.svg									Padlock-silver.svg		146,658	50.01%	0.36%
169	Donald Trump sexual misconduct allegations	/wiki/Donald_Trump_sexual_misconduct_allegations					Symbol c class.svg								146,632	52.95%	0.08%
170	Bob Ross	/wiki/Bob_Ross					Symbol c class.svg						Padlock-silver.svg		146,200	61.70%	0.11%
171	Barack Obama	/wiki/Barack_Obama	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	145,961	51.57%	0.95%
172	Zodiac Killer	/wiki/Zodiac_Killer				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver-light.svg		144,688	75.01%	0.10%
173	The Room (film)	/wiki/The_Room_(film)		Symbol support vote.svg											144,127	55.76%	0.08%
174	Dancing with the Stars (U.S. season 25)	/wiki/Dancing_with_the_Stars_(U.S._season_25)					Symbol c class.svg								143,818	59.27%	0.16%
175	United States Senate special election in Alabama, 2017	/wiki/United_States_Senate_special_election_in_Alabama,_2017					Symbol c class.svg								143,354	43.66%	0.08%
176	Dacre Montgomery	/wiki/Dacre_Montgomery							Symbol stub class.svg						143,233	73.49%	0.15%
177	Vietnam War	/wiki/Vietnam_War					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	143,031	58.32%	0.45%
178	Baqa'a refugee camp	/wiki/Baqa%27a_refugee_camp						Symbol start class.svg					Padlock-blue.svg		142,750	0.01%	0.00%
179	Al Baqa	/wiki/Al_Baqa													142,693	0.01%	0.00%
180	List of Steven Universe episodes	/wiki/List_of_Steven_Universe_episodes											Padlock-silver.svg		142,625	51.07%	0.12%
181	You See Me Crying	/wiki/You_See_Me_Crying						Symbol start class.svg							142,551	25.10%	0.04%
182	HTTP 404	/wiki/HTTP_404					Symbol c class.svg							Padlock-olive.svg	142,059	39.65%	0.34%
183	Bella Thorne	/wiki/Bella_Thorne					Symbol c class.svg						Padlock-silver.svg		141,495	73.14%	0.35%
184	Oscar Pistorius	/wiki/Oscar_Pistorius		Symbol support vote.svg											140,887	87.89%	0.26%
185	Beau Biden	/wiki/Beau_Biden					Symbol c class.svg								140,151	74.22%	0.12%
186	Amber Heard	/wiki/Amber_Heard					Symbol c class.svg						Padlock-silver-light.svg		139,772	64.82%	0.41%
187	Mila Kunis	/wiki/Mila_Kunis		Symbol support vote.svg									Padlock-silver.svg		139,451	77.58%	0.41%
188	Kim Kardashian	/wiki/Kim_Kardashian				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	139,221	73.03%	1.08%
189	Mahatma Gandhi	/wiki/Mahatma_Gandhi		Symbol support vote.svg							Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	138,801	62.36%	0.65%
190	HTTPS	/wiki/HTTPS					Symbol c class.svg								138,292	4.01%	0.24%
191	Wiki	/wiki/Wiki				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	138,046	19.52%	0.45%
192	China	/wiki/China		Symbol support vote.svg							Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	137,756	44.54%	1.12%
193	Ric Flair	/wiki/Ric_Flair				Symbol b class.svg									137,695	79.46%	0.25%
194	Elton John	/wiki/Elton_John					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	137,534	70.83%	0.21%
195	LeBron James	/wiki/LeBron_James		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	137,515	67.32%	0.47%
196	Colin Kaepernick	/wiki/Colin_Kaepernick					Symbol c class.svg						Padlock-silver.svg		137,233	69.96%	0.37%
197	Call of Duty: WWII	/wiki/Call_of_Duty:_WWII					Symbol c class.svg						Padlock-silver.svg		136,668	61.12%	0.41%
198	George Michael	/wiki/George_Michael				Symbol b class.svg							Padlock-silver-light.svg	Padlock-olive.svg	136,402	78.48%	0.25%
199	Rampage (video game)	/wiki/Rampage_(video_game)						Symbol start class.svg		Symbol question.svg					135,814	55.04%	0.15%
200	Johnny Depp	/wiki/Johnny_Depp				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	135,634	66.92%	0.62%
201	Michael Jordan	/wiki/Michael_Jordan	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	135,518	68.23%	0.61%
202	List of Presidents of the United States	/wiki/List_of_Presidents_of_the_United_States											Padlock-silver.svg		135,279	58.96%	0.51%
203	Game of Thrones	/wiki/Game_of_Thrones		Symbol support vote.svg									Padlock-silver.svg		135,068	53.96%	1.05%
204	Crab mentality	/wiki/Crab_mentality							Symbol stub class.svg						134,989	87.26%	0.06%
205	Wikipedia	/wiki/Wikipedia				Symbol b class.svg					Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	134,316	28.36%	1.28%
206	Canada	/wiki/Canada	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	134,071	47.38%	1.01%
207	Null	/wiki/Null													133,845	78.16%	0.47%
208	Coco (2017 film)	/wiki/Coco_(2017_film)						Symbol start class.svg							133,829	53.71%	0.28%
209	Bill Gates	/wiki/Bill_Gates		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	133,297	60.81%	1.35%
210	Gigi Hadid	/wiki/Gigi_Hadid						Symbol start class.svg					Padlock-silver.svg	Padlock-olive.svg	133,120	75.40%	0.65%
211	Richard Wagner	/wiki/Richard_Wagner	Featured article star.svg												132,731	5.85%	0.03%
212	Sylvester Stallone	/wiki/Sylvester_Stallone					Symbol c class.svg						Padlock-silver.svg		131,686	71.97%	0.61%
213	Blade Runner 2049	/wiki/Blade_Runner_2049					Symbol c class.svg								131,571	48.05%	0.49%
214	Treacher Collins syndrome	/wiki/Treacher_Collins_syndrome					Symbol c class.svg								131,314	75.46%	0.11%
215	Australia	/wiki/Australia	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	130,867	47.85%	1.04%
216	Selena Gomez	/wiki/Selena_Gomez					Symbol c class.svg						Padlock-blue.svg		130,671	66.73%	1.09%
217	Thanksgiving (United States)	/wiki/Thanksgiving_(United_States)				Symbol b class.svg									130,575	45.24%	0.34%
218	The Sinner (TV series)	/wiki/The_Sinner_(TV_series)						Symbol start class.svg							130,546	73.19%	0.24%
219	Sharon Tate	/wiki/Sharon_Tate				Symbol b class.svg	Symbol c class.svg				Featured article star - cross.svg				130,467	65.27%	0.20%
220	Leonardo DiCaprio	/wiki/Leonardo_DiCaprio		Symbol support vote.svg									Padlock-silver.svg		129,847	70.77%	0.79%
221	Edom	/wiki/Edom				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg		Padlock-olive.svg	129,699	3.60%	0.06%
222	Cleidocranial dysostosis	/wiki/Cleidocranial_dysostosis				Symbol b class.svg									129,097	73.11%	0.18%
223	List of Dragon Ball Super episodes	/wiki/List_of_Dragon_Ball_Super_episodes					Symbol c class.svg								128,735	54.09%	0.64%
224	Mersal (film)	/wiki/Mersal_(film)						Symbol start class.svg					Padlock-silver.svg		128,489	73.94%	2.22%
225	Hiromi Tsuru	/wiki/Hiromi_Tsuru						Symbol start class.svg		Symbol question.svg					128,253	53.48%	0.21%
226	Dennis Rader	/wiki/Dennis_Rader				Symbol b class.svg							Padlock-silver-light.svg		128,229	73.93%	0.09%
227	Arnold Schwarzenegger	/wiki/Arnold_Schwarzenegger				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	128,067	71.86%	0.73%
228	A Quiet Place (film)	/wiki/A_Quiet_Place_(film)							Symbol stub class.svg						128,029	64.81%	0.15%
229	Empire Corridor	/wiki/Empire_Corridor						Symbol start class.svg							127,978	29.18%	0.02%
230	Lionel Messi	/wiki/Lionel_Messi		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	127,159	65.13%	3.19%
231	The Voice (U.S. season 13)	/wiki/The_Voice_(U.S._season_13)							Symbol stub class.svg						126,926	55.28%	0.47%
232	2017 ATP Finals	/wiki/2017_ATP_Finals						Symbol start class.svg							126,492	50.40%	0.58%
233	American Horror Story	/wiki/American_Horror_Story		Symbol support vote.svg											126,163	57.52%	0.22%
