Rank	Article	href													Views	 %-Mobi	 %-Zero
2156	Amanda Seyfried	/wiki/Amanda_Seyfried		Symbol support vote.svg											39,939	68.38%	0.53%
2158	Azzedine Alaia	/wiki/Azzedine_Alaia													39,938	81.61%	0.70%
2159	Robert Durst	/wiki/Robert_Durst					Symbol c class.svg								39,926	76.38%	0.15%
2160	Oak Island	/wiki/Oak_Island					Symbol c class.svg								39,922	71.70%	0.03%
2161	Samsung	/wiki/Samsung				Symbol b class.svg							Padlock-silver.svg		39,915	53.25%	1.65%
2162	Crusades	/wiki/Crusades		Symbol support vote.svg	Symbol a class.svg			Symbol start class.svg							39,909	50.32%	0.53%
2163	The Exorcist (TV series)	/wiki/The_Exorcist_(TV_series)						Symbol start class.svg							39,904	52.04%	0.52%
2164	Baadshaho	/wiki/Baadshaho						Symbol start class.svg							39,883	75.09%	1.60%
2165	David Berkowitz	/wiki/David_Berkowitz				Symbol b class.svg				Symbol question.svg					39,864	71.49%	0.14%
2166	Garett Bolles	/wiki/Garett_Bolles						Symbol start class.svg							39,857	88.31%	0.00%
2167	Little Mix	/wiki/Little_Mix					Symbol c class.svg						Padlock-silver.svg		39,840	61.00%	0.92%
2168	Joy Mangano	/wiki/Joy_Mangano						Symbol start class.svg							39,837	79.92%	0.09%
2169	Spyder (film)	/wiki/Spyder_(film)						Symbol start class.svg					Padlock-silver.svg		39,830	69.14%	1.86%
2170	1922 (2017 film)	/wiki/1922_(2017_film)							Symbol stub class.svg						39,828	69.88%	0.21%
2171	Vulva	/wiki/Vulva					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	39,827	67.95%	2.91%
2172	Joe Gomez (footballer)	/wiki/Joe_Gomez_(footballer)						Symbol start class.svg							39,825	75.33%	0.58%
2172	The Dark Tower (series)	/wiki/The_Dark_Tower_(series)				Symbol b class.svg	Symbol c class.svg								39,825	63.30%	0.36%
2174	Romani people	/wiki/Romani_people				Symbol b class.svg		Symbol start class.svg					Padlock-silver-light.svg	Padlock-olive.svg	39,822	53.76%	0.35%
2175	Drew Brees	/wiki/Drew_Brees					Symbol c class.svg						Padlock-silver-light.svg		39,819	76.66%	0.07%
2176	Dave Grohl	/wiki/Dave_Grohl					Symbol c class.svg								39,818	63.29%	0.13%
2177	Star Wars (film)	/wiki/Star_Wars_(film)				Symbol b class.svg					Featured article star - cross.svg			Padlock-olive.svg	39,810	50.75%	0.48%
2178	The Rolling Stones	/wiki/The_Rolling_Stones		Symbol support vote.svg											39,797	45.41%	0.27%
2179	Kareena Kapoor	/wiki/Kareena_Kapoor	Featured article star.svg										Padlock-silver.svg		39,793	78.22%	2.94%
2180	C (programming language)	/wiki/C_(programming_language)					Symbol c class.svg				Featured article star - cross.svg		Padlock-silver.svg		39,778	48.89%	1.55%
2181	Chesley Sullenberger	/wiki/Chesley_Sullenberger				Symbol b class.svg									39,776	75.60%	0.49%
2182	Kaitlin Olson	/wiki/Kaitlin_Olson						Symbol start class.svg							39,767	76.41%	0.15%
2183	Band of Brothers (miniseries)	/wiki/Band_of_Brothers_(miniseries)				Symbol b class.svg									39,763	59.88%	0.14%
2184	Fifty Shades of Grey (film)	/wiki/Fifty_Shades_of_Grey_(film)					Symbol c class.svg								39,754	67.09%	1.48%
2185	Budapest	/wiki/Budapest				Symbol b class.svg	Symbol c class.svg								39,744	60.33%	0.58%
2186	Archie Comics	/wiki/Archie_Comics					Symbol c class.svg								39,737	71.62%	0.28%
2187	Cancer	/wiki/Cancer				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	39,727	55.83%	1.56%
2188	Doki Doki Literature Club!	/wiki/Doki_Doki_Literature_Club!						Symbol start class.svg							39,725	46.27%	0.05%
2189	Stephanie McMahon	/wiki/Stephanie_McMahon		Symbol support vote.svg									Padlock-silver.svg		39,721	77.93%	1.26%
2190	Nike, Inc.	/wiki/Nike,_Inc.					Symbol c class.svg						Padlock-silver.svg		39,716	45.40%	1.07%
2191	Croatia	/wiki/Croatia		Symbol support vote.svg						Symbol question.svg			Padlock-silver.svg	Padlock-olive.svg	39,695	47.29%	0.64%
2192	Tameka Cottle	/wiki/Tameka_Cottle						Symbol start class.svg							39,675	84.72%	0.28%
2193	Leon Trotsky	/wiki/Leon_Trotsky				Symbol b class.svg	Symbol c class.svg							Padlock-olive.svg	39,662	49.64%	0.26%
2194	Adam Thielen	/wiki/Adam_Thielen							Symbol stub class.svg						39,655	81.19%	0.04%
2195	Sherlock Holmes	/wiki/Sherlock_Holmes					Symbol c class.svg						Padlock-silver.svg		39,651	54.22%	0.73%
2196	Sean Penn	/wiki/Sean_Penn					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	39,640	65.84%	0.50%
2197	Miranda Lambert	/wiki/Miranda_Lambert						Symbol start class.svg							39,633	65.00%	0.15%
2198	Michelle Williams (actress)	/wiki/Michelle_Williams_(actress)		Symbol support vote.svg											39,631	60.84%	0.58%
2199	Martellus Bennett	/wiki/Martellus_Bennett					Symbol c class.svg						Padlock-silver.svg		39,612	71.37%	0.09%
2200	Lawrence Bittaker and Roy Norris	/wiki/Lawrence_Bittaker_and_Roy_Norris				Symbol b class.svg	Symbol c class.svg								39,610	61.02%	0.07%
2201	Jumanji: Welcome to the Jungle	/wiki/Jumanji:_Welcome_to_the_Jungle						Symbol start class.svg		Symbol question.svg					39,605	52.29%	0.86%
2202	2013 NBA draft	/wiki/2013_NBA_draft													39,599	56.51%	0.19%
2203	The Lion King	/wiki/The_Lion_King		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	39,591	51.36%	0.54%
2204	Asd RNA motif	/wiki/Asd_RNA_motif							Symbol stub class.svg						39,588	0.01%	0.00%
2205	Black (TV series)	/wiki/Black_(TV_series)						Symbol start class.svg							39,585	65.13%	0.61%
2206	Lucifer	/wiki/Lucifer					Symbol c class.svg								39,576	63.60%	0.79%
2207	Ron Jeremy	/wiki/Ron_Jeremy				Symbol b class.svg							Padlock-silver.svg		39,533	71.26%	0.45%
2208	United States Constitution	/wiki/United_States_Constitution				Symbol b class.svg	Symbol c class.svg				Featured article star - cross.svg		Padlock-silver.svg		39,521	44.91%	0.39%
2209	List of Intel microprocessors	/wiki/List_of_Intel_microprocessors													39,513	11.98%	0.33%
2210	Montenegro	/wiki/Montenegro					Symbol c class.svg			Symbol question.svg				Padlock-olive.svg	39,501	34.25%	0.45%
2211	Martin Scorsese	/wiki/Martin_Scorsese				Symbol b class.svg							Padlock-silver-light.svg		39,491	52.51%	0.43%
2212	Norse mythology	/wiki/Norse_mythology				Symbol b class.svg	Symbol c class.svg								39,485	58.38%	0.45%
2213	Saif Ali Khan	/wiki/Saif_Ali_Khan		Symbol support vote.svg									Padlock-silver.svg		39,472	76.68%	1.90%
2214	John Tyler	/wiki/John_Tyler	Featured article star.svg										Padlock-silver-light.svg	Padlock-olive.svg	39,450	51.76%	0.11%
2215	Silent Hill (film)	/wiki/Silent_Hill_(film)				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg			39,446	75.13%	0.10%
2216	Photosynthesis	/wiki/Photosynthesis					Symbol c class.svg						Padlock-silver.svg		39,436	52.12%	1.61%
2217	Ronaldo (Brazilian footballer)	/wiki/Ronaldo_(Brazilian_footballer)				Symbol b class.svg							Padlock-silver.svg		39,434	62.96%	2.24%
2218	SZA (singer)	/wiki/SZA_(singer)											Padlock.svg		39,431	62.86%	0.89%
2219	Sex	/wiki/Sex				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	39,417	69.47%	6.19%
2220	Methamphetamine	/wiki/Methamphetamine		Symbol support vote.svg									Padlock-silver.svg		39,414	60.47%	0.69%
2221	List of countries and dependencies by area	/wiki/List_of_countries_and_dependencies_by_area													39,380	53.55%	1.17%
2222	J. K. Simmons	/wiki/J._K._Simmons					Symbol c class.svg								39,366	62.79%	0.39%
2223	Cary Grant	/wiki/Cary_Grant		Symbol support vote.svg									Padlock-silver.svg		39,361	68.02%	0.14%
2224	Cricket	/wiki/Cricket				Symbol b class.svg		Symbol start class.svg			Featured article star - cross.svg		Padlock-silver.svg		39,350	61.95%	1.39%
2225	Evan Rachel Wood	/wiki/Evan_Rachel_Wood		Symbol support vote.svg											39,331	63.03%	0.31%
2226	Belarus	/wiki/Belarus	Featured article star.svg												39,302	45.07%	0.49%
2227	Jon Stewart	/wiki/Jon_Stewart					Symbol c class.svg						Padlock-silver.svg		39,289	63.10%	0.13%
2228	Clitoris	/wiki/Clitoris		Symbol support vote.svg									Padlock-silver.svg		39,258	69.89%	2.47%
2229	Bahrain	/wiki/Bahrain		Symbol support vote.svg										Padlock-olive.svg	39,249	44.62%	1.67%
2229	Hidden Figures	/wiki/Hidden_Figures					Symbol c class.svg								39,249	58.74%	0.38%
2231	Camp Nou	/wiki/Camp_Nou				Symbol b class.svg									39,247	25.68%	0.82%
2232	Bill Paxton	/wiki/Bill_Paxton					Symbol c class.svg								39,231	71.06%	0.30%
2232	Lorenzo Insigne	/wiki/Lorenzo_Insigne						Symbol start class.svg							39,231	54.40%	0.76%
2234	Middle Ages	/wiki/Middle_Ages	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	39,229	47.51%	0.84%
2235	Greenleaf (TV series)	/wiki/Greenleaf_(TV_series)						Symbol start class.svg							39,225	69.19%	0.67%
2236	Leslie Odom Jr.	/wiki/Leslie_Odom_Jr.						Symbol start class.svg							39,218	63.68%	0.18%
2237	Boris Johnson	/wiki/Boris_Johnson				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	39,201	63.53%	0.20%
2238	Anthea Turner	/wiki/Anthea_Turner						Symbol start class.svg							39,155	94.14%	0.01%
2239	Catherine Zeta-Jones	/wiki/Catherine_Zeta-Jones	Featured article star.svg												39,130	72.86%	0.50%
2240	Red Hot Chili Peppers	/wiki/Red_Hot_Chili_Peppers				Symbol b class.svg							Padlock-silver-light.svg	Padlock-olive.svg	39,129	49.44%	0.25%
2241	Hulk Hogan	/wiki/Hulk_Hogan				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	39,124	67.36%	0.81%
2241	Iron Maiden	/wiki/Iron_Maiden		Symbol support vote.svg							Featured article star - cross.svg				39,124	41.75%	0.16%
2243	Mr. Bean	/wiki/Mr._Bean		Symbol support vote.svg									Padlock-silver-light.svg		39,090	66.34%	3.27%
2244	Jamaica	/wiki/Jamaica				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg		39,082	50.29%	1.84%
2245	Charles II of England	/wiki/Charles_II_of_England	Featured article star.svg												39,078	56.43%	0.25%
2246	Filthy Frank	/wiki/Filthy_Frank							Symbol stub class.svg	Symbol question.svg					39,070	41.82%	0.14%
2247	Keegan-Michael Key	/wiki/Keegan-Michael_Key						Symbol start class.svg							39,067	62.55%	0.24%
2248	1998 FIFA World Cup	/wiki/1998_FIFA_World_Cup				Symbol b class.svg									39,060	44.79%	1.29%
2249	List of Greek mythological figures	/wiki/List_of_Greek_mythological_figures											Padlock-silver-light.svg		39,057	52.45%	0.38%
2250	Costa Rica	/wiki/Costa_Rica				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	39,052	51.11%	0.52%
2251	Prabhas	/wiki/Prabhas					Symbol c class.svg								39,046	75.48%	1.80%
2252	Shingles	/wiki/Shingles		Symbol support vote.svg											39,045	72.76%	0.77%
2253	Cuba	/wiki/Cuba				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	39,041	44.54%	0.83%
2254	Aaliyah	/wiki/Aaliyah	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	39,040	63.95%	0.93%
2255	Richard Ramirez	/wiki/Richard_Ramirez					Symbol c class.svg						Padlock-silver.svg		39,028	70.34%	0.19%
2256	Rebel Wilson	/wiki/Rebel_Wilson					Symbol c class.svg						Padlock-silver-light.svg		39,027	65.10%	0.52%
2257	Maddie Ziegler	/wiki/Maddie_Ziegler					Symbol c class.svg			Symbol question.svg			Padlock-silver.svg	Padlock-olive.svg	39,006	71.01%	0.54%
2258	The Shape of Water (film)	/wiki/The_Shape_of_Water_(film)						Symbol start class.svg		Symbol question.svg					38,997	43.58%	0.32%
2259	Orgasm	/wiki/Orgasm				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	38,993	72.84%	2.44%
2260	Spider-Man	/wiki/Spider-Man		Symbol support vote.svg									Padlock-silver.svg		38,964	56.96%	1.17%
2261	Jupiter	/wiki/Jupiter	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	38,943	51.25%	0.91%
2262	Judwaa 2	/wiki/Judwaa_2						Symbol start class.svg					Padlock-silver.svg		38,938	73.04%	1.75%
2262	Rob Gronkowski	/wiki/Rob_Gronkowski					Symbol c class.svg								38,938	79.61%	0.08%
2262	Thanksgiving dinner	/wiki/Thanksgiving_dinner						Symbol start class.svg		Symbol question.svg					38,938	48.40%	0.26%
2265	Human penis	/wiki/Human_penis					Symbol c class.svg						Padlock-silver.svg		38,937	71.27%	3.09%
2266	Rooney Mara	/wiki/Rooney_Mara				Symbol b class.svg									38,930	63.27%	0.34%
2267	[[Haf����r J��l��us Bj��rnsson]]													38,904	67.85%	0.47%
2268	Minecraft	/wiki/Minecraft		Symbol support vote.svg									Padlock-silver.svg		38,900	36.77%	0.29%
2269	Hungary	/wiki/Hungary				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	38,899	43.56%	0.91%
2269	Natalie Wood	/wiki/Natalie_Wood				Symbol b class.svg									38,899	72.11%	0.16%
2271	Big Five personality traits	/wiki/Big_Five_personality_traits					Symbol c class.svg								38,886	40.89%	0.71%
2272	Alexa Bliss	/wiki/Alexa_Bliss					Symbol c class.svg	Symbol start class.svg		Symbol question.svg			Padlock-silver.svg		38,875	74.11%	1.12%
2273	Jane Goodall	/wiki/Jane_Goodall				Symbol b class.svg							Padlock-silver.svg		38,865	66.82%	0.18%
2274	The Sims 4	/wiki/The_Sims_4						Symbol start class.svg					Padlock-silver.svg		38,856	50.65%	0.37%
2275	UEFA Euro 2020	/wiki/UEFA_Euro_2020						Symbol start class.svg							38,834	55.23%	0.43%
2276	Joaquin Phoenix	/wiki/Joaquin_Phoenix				Symbol b class.svg									38,825	64.73%	0.30%
2277	S.W.A.T. (2017 TV series)	/wiki/S.W.A.T._(2017_TV_series)						Symbol start class.svg							38,823	55.32%	0.62%
2278	Education	/wiki/Education					Symbol c class.svg							Padlock-olive.svg	38,821	54.11%	3.26%
2279	B. R. Ambedkar	/wiki/B._R._Ambedkar				Symbol b class.svg							Padlock-silver.svg		38,810	74.10%	0.10%
2280	Brooke Shields	/wiki/Brooke_Shields				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	38,799	69.22%	0.27%
2281	Wanna One	/wiki/Wanna_One						Symbol start class.svg							38,794	55.79%	0.52%
2282	Bruce Springsteen	/wiki/Bruce_Springsteen					Symbol c class.svg					Symbol unsupport vote.svg		Padlock-olive.svg	38,790	57.18%	0.22%
2283	Samara Weaving	/wiki/Samara_Weaving						Symbol start class.svg							38,779	62.53%	0.35%
2284	The Great Gatsby	/wiki/The_Great_Gatsby		Symbol support vote.svg											38,778	49.89%	0.48%
2285	San Francisco	/wiki/San_Francisco	Featured article star.svg												38,777	44.97%	0.61%
2286	Diplo	/wiki/Diplo					Symbol c class.svg								38,776	63.13%	0.50%
2287	Irrfan Khan	/wiki/Irrfan_Khan					Symbol c class.svg								38,775	68.61%	0.97%
2288	Benafsha Soonawalla	/wiki/Benafsha_Soonawalla						Symbol start class.svg					Padlock-silver-light.svg		38,772	80.69%	0.61%
2289	Calculator	/wiki/Calculator				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg		38,759	66.06%	0.24%
2290	Dick Van Dyke	/wiki/Dick_Van_Dyke					Symbol c class.svg						Padlock-silver.svg		38,750	75.27%	0.08%
2291	Fifty Shades of Grey	/wiki/Fifty_Shades_of_Grey				Symbol b class.svg				Symbol question.svg					38,742	69.95%	0.89%
2292	Dani Osvaldo	/wiki/Dani_Osvaldo						Symbol start class.svg							38,734	71.84%	0.64%
2293	Bigg Boss	/wiki/Bigg_Boss						Symbol start class.svg					Padlock-silver.svg		38,733	79.31%	1.02%
2294	List of colors: A???F	/w/index.php?title=List_of_colors:_A%3F%3F%3FF&action=edit&redlink=1													38,728	40.06%	1.07%
2295	Lymphoma	/wiki/Lymphoma				Symbol b class.svg									38,727	64.40%	0.49%
2296	The Walking Dead (season 7)	/wiki/The_Walking_Dead_(season_7)					Symbol c class.svg								38,723	59.45%	0.42%
2297	Application programming interface	/wiki/Application_programming_interface					Symbol c class.svg				Featured article star - cross.svg				38,698	23.34%	0.62%
2298	RuPaul	/wiki/RuPaul					Symbol c class.svg						Padlock-silver.svg		38,676	75.07%	0.24%
2299	Lucy Liu	/wiki/Lucy_Liu					Symbol c class.svg							Padlock-olive.svg	38,665	51.18%	0.38%
2300	List of 2017 albums	/wiki/List_of_2017_albums													38,657	39.67%	1.17%
2301	Bell's palsy	/wiki/Bell%27s_palsy				Symbol b class.svg									38,635	70.20%	0.74%
2302	Judaism	/wiki/Judaism				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	38,627	52.23%	1.06%
2303	Horse	/wiki/Horse		Symbol support vote.svg									Padlock-silver.svg		38,606	59.29%	0.67%
2304	Steven Universe	/wiki/Steven_Universe					Symbol c class.svg						Padlock-silver.svg		38,605	43.49%	0.22%
2305	Purple drank	/wiki/Purple_drank					Symbol c class.svg						Padlock-silver.svg		38,603	64.62%	0.47%
2306	Saving Private Ryan	/wiki/Saving_Private_Ryan		Symbol support vote.svg											38,601	59.05%	0.34%
2307	Iliza Shlesinger	/wiki/Iliza_Shlesinger						Symbol start class.svg							38,585	59.22%	0.05%
2308	Randy Jackson	/wiki/Randy_Jackson						Symbol start class.svg		Symbol question.svg			Padlock-silver.svg		38,580	83.42%	0.08%
2309	Mission: Impossible 6	/wiki/Mission:_Impossible_6						Symbol start class.svg							38,571	50.46%	0.79%
2310	Bear Grylls	/wiki/Bear_Grylls				Symbol b class.svg							Padlock-silver.svg		38,537	76.50%	0.58%
2311	Azerbaijan	/wiki/Azerbaijan		Symbol support vote.svg						Symbol question.svg				Padlock-olive.svg	38,532	47.21%	0.98%
2312	Volcano	/wiki/Volcano				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg		38,517	52.12%	0.74%
2313	Kenya	/wiki/Kenya				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	38,509	43.22%	5.04%
2314	Fargo (TV series)	/wiki/Fargo_(TV_series)					Symbol c class.svg								38,495	52.95%	0.34%
2315	Holy Roman Empire	/wiki/Holy_Roman_Empire					Symbol c class.svg								38,484	44.17%	0.28%
2316	Occam's razor	/wiki/Occam%27s_razor				Symbol b class.svg	Symbol c class.svg								38,481	51.09%	0.20%
2317	Tesla Roadster (2020)	/wiki/Tesla_Roadster_(2020)								Symbol question.svg					38,473	56.64%	0.43%
2318	New York (state)	/wiki/New_York_(state)					Symbol c class.svg						Padlock-silver.svg		38,454	51.31%	0.79%
2319	Zeus	/wiki/Zeus					Symbol c class.svg						Padlock-silver.svg		38,437	54.13%	0.64%
2320	Amish	/wiki/Amish				Symbol b class.svg						Symbol unsupport vote.svg			38,425	54.22%	0.56%
2321	The Shawshank Redemption	/wiki/The_Shawshank_Redemption		Symbol support vote.svg											38,424	56.75%	0.68%
2322	Loki	/wiki/Loki				Symbol b class.svg							Padlock-silver.svg		38,418	58.87%	0.34%
2323	Binary option	/wiki/Binary_option						Symbol start class.svg					Padlock-silver.svg		38,395	6.84%	0.41%
2324	Jack Sock	/wiki/Jack_Sock					Symbol c class.svg								38,377	68.60%	0.35%
2325	OnePlus	/wiki/OnePlus					Symbol c class.svg								38,376	61.27%	0.69%
2326	Aileen Wuornos	/wiki/Aileen_Wuornos				Symbol b class.svg	Symbol c class.svg								38,354	68.57%	0.25%
2327	Raspberry Pi	/wiki/Raspberry_Pi				Symbol b class.svg									38,341	36.64%	0.30%
2328	Alexis Bledel	/wiki/Alexis_Bledel					Symbol c class.svg						Padlock-silver-light.svg		38,337	71.22%	0.28%
2329	Peter Kay	/wiki/Peter_Kay						Symbol start class.svg							38,322	84.20%	0.01%
2330	Sam Heughan	/wiki/Sam_Heughan						Symbol start class.svg							38,319	74.52%	0.17%
2331	Dating	/wiki/Dating					Symbol c class.svg								38,300	18.46%	0.80%
2332	Jaime Pressly	/wiki/Jaime_Pressly					Symbol c class.svg								38,293	79.11%	0.12%
2332	LGBT	/wiki/LGBT		Symbol support vote.svg									Padlock-silver.svg		38,293	57.90%	0.70%
2334	Jennifer Love Hewitt	/wiki/Jennifer_Love_Hewitt					Symbol c class.svg						Padlock-silver-light.svg	Padlock-olive.svg	38,288	70.44%	0.51%
2335	Poisson distribution	/wiki/Poisson_distribution				Symbol b class.svg									38,284	22.02%	0.48%
2336	World population	/wiki/World_population				Symbol b class.svg	Symbol c class.svg								38,273	48.57%	1.06%
2337	Christina Aguilera	/wiki/Christina_Aguilera					Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	38,271	63.98%	0.60%
2338	Sam Neill	/wiki/Sam_Neill				Symbol b class.svg	Symbol c class.svg							Padlock-olive.svg	38,264	63.58%	0.22%
2339	UEFA Euro 2016	/wiki/UEFA_Euro_2016					Symbol c class.svg								38,262	47.60%	0.75%
2340	Ashley Jensen	/wiki/Ashley_Jensen						Symbol start class.svg							38,248	83.40%	0.03%
2341	Rafael Nadal	/wiki/Rafael_Nadal				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	38,242	58.55%	0.65%
2342	Catherine, Duchess of Cambridge	/wiki/Catherine,_Duchess_of_Cambridge				Symbol b class.svg							Padlock-silver-light.svg		38,238	66.92%	0.60%
2343	Theresa May	/wiki/Theresa_May				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	38,229	55.56%	0.66%
2344	Kevin Costner	/wiki/Kevin_Costner					Symbol c class.svg								38,227	72.26%	0.36%
2345	Fidel Castro	/wiki/Fidel_Castro		Symbol support vote.svg									Padlock-silver.svg		38,219	55.81%	0.99%
2346	The Accountant (2016 film)	/wiki/The_Accountant_(2016_film)						Symbol start class.svg							38,218	68.08%	0.55%
2347	Savant syndrome	/wiki/Savant_syndrome					Symbol c class.svg			Symbol question.svg					38,216	65.81%	0.76%
2348	Paracetamol	/wiki/Paracetamol				Symbol b class.svg		Symbol start class.svg			Featured article star - cross.svg				38,207	61.54%	1.30%
2349	Indian Super League	/wiki/Indian_Super_League				Symbol b class.svg									38,201	72.56%	1.62%
2350	Naruto	/wiki/Naruto	Featured article star.svg										Padlock-silver-light.svg		38,187	54.31%	1.04%
2351	Lori Greiner	/wiki/Lori_Greiner						Symbol start class.svg		Symbol question.svg					38,180	78.26%	0.10%
2352	Gray wolf	/wiki/Gray_wolf		Symbol support vote.svg							Featured article star - cross.svg		Padlock-silver.svg		38,176	55.51%	0.53%
2353	Dick Cheney	/wiki/Dick_Cheney		Symbol support vote.svg									Padlock-silver.svg		38,162	55.95%	0.28%
2354	Reba McEntire	/wiki/Reba_McEntire		Symbol support vote.svg											38,140	80.25%	0.08%
2355	Jayson Tatum	/wiki/Jayson_Tatum						Symbol start class.svg					Padlock-silver-light.svg		38,138	67.40%	0.35%
2356	Paris Hilton	/wiki/Paris_Hilton				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	38,132	70.87%	0.70%
2357	Naomi Watts	/wiki/Naomi_Watts		Symbol support vote.svg									Padlock-silver.svg		38,118	67.84%	0.49%
2358	2018 FIFA World Cup qualification (CAF)	/wiki/2018_FIFA_World_Cup_qualification_(CAF)						Symbol start class.svg							38,116	46.38%	3.38%
2358	Iraq	/wiki/Iraq					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	38,116	46.17%	1.62%
2360	Jared Kushner	/wiki/Jared_Kushner					Symbol c class.svg								38,114	64.59%	0.57%
2361	Saturday Night Live (season 43)	/wiki/Saturday_Night_Live_(season_43)								Symbol question.svg					38,097	53.39%	0.10%
2362	[[Jefferson Farf��n]]													38,086	56.97%	0.77%
2363	List of trigonometric identities	/wiki/List_of_trigonometric_identities													38,077	40.78%	0.58%
2364	Zimbabwe Defence Forces	/wiki/Zimbabwe_Defence_Forces						Symbol start class.svg							38,065	41.37%	2.11%
2365	Robert Pattinson	/wiki/Robert_Pattinson				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	38,044	70.71%	1.05%
2366	Rhea Perlman	/wiki/Rhea_Perlman						Symbol start class.svg							38,038	71.52%	0.10%
2367	Tokyo	/wiki/Tokyo				Symbol b class.svg	Symbol c class.svg							Padlock-olive.svg	38,033	43.59%	0.65%
2368	Psoriasis	/wiki/Psoriasis		Symbol support vote.svg											38,031	73.19%	0.66%
2369	Impeachment	/wiki/Impeachment					Symbol c class.svg								38,027	67.23%	0.41%
2370	Jamie Lee Curtis	/wiki/Jamie_Lee_Curtis				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	38,026	70.03%	0.30%
2371	Robert Catesby	/wiki/Robert_Catesby	Featured article star.svg							Symbol question.svg					38,025	75.46%	0.13%
2372	I Love You, Daddy	/wiki/I_Love_You,_Daddy							Symbol stub class.svg	Symbol question.svg					38,016	47.49%	0.26%
2373	Seth Rogen	/wiki/Seth_Rogen		Symbol support vote.svg											37,996	63.24%	0.40%
2373	Vikings	/wiki/Vikings					Symbol c class.svg						Padlock-silver.svg		37,996	54.14%	0.96%
2375	Longmire (TV series)	/wiki/Longmire_(TV_series)					Symbol c class.svg								37,987	52.44%	0.08%
2376	Charles Darwin	/wiki/Charles_Darwin	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	37,978	47.67%	0.67%
2377	[[Schr��dinger's cat]]													37,976	60.66%	0.41%
2378	Ralph Fiennes	/wiki/Ralph_Fiennes					Symbol c class.svg								37,970	64.96%	0.26%
2378	[[Sebasti��n Marroqu��n]]													37,970	76.99%	0.99%
2380	The Dark Knight Rises	/wiki/The_Dark_Knight_Rises		Symbol support vote.svg									Padlock-silver.svg		37,969	57.77%	0.73%
2381	Mathematics	/wiki/Mathematics				Symbol b class.svg						Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	37,965	45.86%	1.90%
2382	Celine Dion	/wiki/Celine_Dion					Symbol c class.svg				Featured article star - cross.svg		Padlock-silver.svg		37,957	62.17%	1.72%
2383	Nick Offerman	/wiki/Nick_Offerman						Symbol start class.svg		Symbol question.svg			Padlock-silver-light.svg		37,954	70.01%	0.13%
2384	2004 Indian Ocean earthquake and tsunami	/wiki/2004_Indian_Ocean_earthquake_and_tsunami				Symbol b class.svg	Symbol c class.svg				Featured article star - cross.svg				37,952	52.47%	1.04%
2385	Leprosy	/wiki/Leprosy				Symbol b class.svg									37,948	67.42%	0.67%
2385	Robert Plant	/wiki/Robert_Plant				Symbol b class.svg									37,948	58.63%	0.11%
2387	Jungle (2017 film)	/wiki/Jungle_(2017_film)							Symbol stub class.svg						37,935	66.26%	1.13%
2388	Petra	/wiki/Petra					Symbol c class.svg								37,933	58.15%	1.71%
2389	Rochelle Humes	/wiki/Rochelle_Humes						Symbol start class.svg							37,931	85.08%	0.04%
2390	CRISPR	/wiki/CRISPR				Symbol b class.svg									37,911	39.74%	0.24%
2391	Hezbollah	/wiki/Hezbollah		Symbol support vote.svg									Padlock-blue.svg		37,910	48.74%	1.03%
