Article_Name,1,2,3,4,5,6,7,8,9,10
Mary Wollstonecraft - Wikipedia.txt,1535,1936,2096,1567,1476,1523,1180,913,706,1501
Equation - Wikipedia.txt,973,907,673,424,294,234,284,366,361,487
Albert Einstein - Wikipedia.txt,1380,2492,2542,2116,1619,1646,1524,1563,1185,2060
Mahatma Gandhi - Wikipedia.txt,2291,4151,4565,3675,3390,3831,2990,2335,1676,3302
Kahlil Gibran - Wikipedia.txt,402,627,734,519,490,669,437,314,229,366
Salvador Dalí - Wikipedia.txt,833,2200,2195,2401,1512,1293,1137,989,769,1215
Voltaire - Wikipedia.txt,1822,3033,2865,2010,1831,1706,1642,1550,1092,1873
Multiplication - Wikipedia.txt,1664,1167,641,412,344,247,356,273,172,512
Plane (geometry) - Wikipedia.txt,2452,1071,441,266,271,246,138,135,123,339
Triangle - Wikipedia.txt,4403,2897,1797,1165,1022,698,635,849,543,823
Infinity - Wikipedia.txt,746,902,733,613,459,390,479,543,250,633
Friedrich Nietzsche - Wikipedia.txt,1529,2920,2876,2415,1820,1714,1796,1390,1659,2492
Carl Friedrich Gauss - Wikipedia.txt,681,1185,1163,976,974,727,626,550,524,1050
Joseph Stalin - Wikipedia.txt,1966,3414,3961,4537,2886,3448,2916,2200,1872,3235
Emmy Noether - Wikipedia.txt,986,1931,2215,1594,1264,1042,1247,940,703,1685
Augustus - Wikipedia.txt,2955,3202,3509,2364,1949,2058,1779,1995,1201,1679
Series (mathematics) - Wikipedia.txt,3782,2335,1078,803,550,622,604,408,329,771
Avicenna - Wikipedia.txt,1792,2028,2242,1670,1534,1184,1406,1268,895,1842
Catherine the Great - Wikipedia.txt,1998,2584,2773,1878,1567,1422,1354,1072,1091,1465
Rembrandt - Wikipedia.txt,1233,1456,1787,1267,1113,827,827,742,695,969
Ernest Hemingway - Wikipedia.txt,990,2050,2391,2234,1817,1414,1074,883,854,969
Laozi - Wikipedia.txt,643,645,725,550,509,458,424,317,277,510
John Locke - Wikipedia.txt,1282,1293,1173,1081,1030,1071,1004,850,659,1286
Nagarjuna - Wikipedia.txt,699,680,646,508,473,436,411,411,408,819
Confucius - Wikipedia.txt,940,1541,1571,1297,939,814,781,805,721,1058
Muhammad ibn Musa al-Khwarizmi - Wikipedia.txt,1068,894,1055,717,623,504,543,484,382,911
