Article_Name,1,2,3,4,5
Johannes Gutenberg - Wikipedia.txt,318,773,860,719,2601
Subtraction - Wikipedia.txt,890,696,498,384,1385
Thomas Aquinas - Wikipedia.txt,1812,2967,2542,1928,9646
Number - Wikipedia.txt,973,1229,1130,807,3670
Suleiman the Magnificent - Wikipedia.txt,778,1331,1566,1089,4802
Benjamin Franklin - Wikipedia.txt,2663,3526,3367,2560,12166
Line (geometry) - Wikipedia.txt,1492,978,643,497,1772
Real number - Wikipedia.txt,682,899,860,700,2553
Roald Amundsen - Wikipedia.txt,901,628,811,717,2775
Marco Polo - Wikipedia.txt,524,1271,1311,1413,4297
Pythagoras - Wikipedia.txt,1413,1258,1360,1196,4810
Addition - Wikipedia.txt,2371,1966,1427,978,4133
Dmitri Mendeleev - Wikipedia.txt,899,882,852,604,3339
Mary Wollstonecraft - Wikipedia.txt,1535,1936,2096,1567,7299
Equation - Wikipedia.txt,973,907,673,424,2026
Albert Einstein - Wikipedia.txt,1380,2492,2542,2116,9597
Mahatma Gandhi - Wikipedia.txt,2291,4151,4565,3675,17524
Kahlil Gibran - Wikipedia.txt,402,627,734,519,2505
Salvador Dalí - Wikipedia.txt,833,2200,2195,2401,6915
Voltaire - Wikipedia.txt,1822,3033,2865,2010,9694
Multiplication - Wikipedia.txt,1664,1167,641,412,1904
Plane (geometry) - Wikipedia.txt,2452,1071,441,266,1252
Triangle - Wikipedia.txt,4403,2897,1797,1165,4570
Infinity - Wikipedia.txt,746,902,733,613,2754
Friedrich Nietzsche - Wikipedia.txt,1529,2920,2876,2415,10871
Carl Friedrich Gauss - Wikipedia.txt,681,1185,1163,976,4451
Joseph Stalin - Wikipedia.txt,1966,3414,3961,4537,16557
Emmy Noether - Wikipedia.txt,986,1931,2215,1594,6881
Augustus - Wikipedia.txt,2955,3202,3509,2364,10661
Series (mathematics) - Wikipedia.txt,3782,2335,1078,803,3284
Avicenna - Wikipedia.txt,1792,2028,2242,1670,8129
Catherine the Great - Wikipedia.txt,1998,2584,2773,1878,7971
Rembrandt - Wikipedia.txt,1233,1456,1787,1267,5173
Ernest Hemingway - Wikipedia.txt,990,2050,2391,2234,7011
Laozi - Wikipedia.txt,643,645,725,550,2495
John Locke - Wikipedia.txt,1282,1293,1173,1081,5900
Nagarjuna - Wikipedia.txt,699,680,646,508,2958
Confucius - Wikipedia.txt,940,1541,1571,1297,5118
Muhammad ibn Musa al-Khwarizmi - Wikipedia.txt,1068,894,1055,717,3447
