Article_Name,1,2,3,4,5,6,7
Galaxy - Wikipedia.txt,985,1507,1591,1269,1055,1025,3577
Soviet Union - Wikipedia.txt,2287,2641,3428,2327,2077,2443,7554
Moon landing - Wikipedia.txt,1493,1600,1538,1558,1754,1329,3700
Limit (mathematics) - Wikipedia.txt,1025,520,232,176,200,114,461
Dictatorship - Wikipedia.txt,394,432,374,337,317,247,1189
Monarchy - Wikipedia.txt,860,1053,891,621,739,564,2181
Mobile phone - Wikipedia.txt,901,1023,1016,946,883,921,2434
Jewellery - Wikipedia.txt,1043,1468,1618,1615,1265,1127,3441
Video game - Wikipedia.txt,946,1700,1714,1778,1627,1132,3604
Journalism - Wikipedia.txt,401,645,554,481,358,339,1626
Trigonometry - Wikipedia.txt,1130,791,562,388,319,232,1178
Dog - Wikipedia.txt,2866,1925,2264,2290,1710,1501,5577
Hospital - Wikipedia.txt,482,1357,1396,1090,781,757,3126
Anatomy - Wikipedia.txt,900,1141,1401,1057,912,676,3196
Atheism - Wikipedia.txt,2355,2664,2578,2107,1480,1488,7172
Ecology - Wikipedia.txt,2252,2650,2624,1960,1535,1586,8330
Genetics - Wikipedia.txt,1101,1405,1403,1069,795,762,3771
Film - Wikipedia.txt,768,1380,1300,1396,1069,874,2849
Qin Shi Huang - Wikipedia.txt,803,1485,1975,1350,1156,748,2578
Women's suffrage - Wikipedia.txt,1831,2955,3257,2414,2706,1986,6892
Anthropology - Wikipedia.txt,1339,1638,1520,1140,1044,1013,5040
Archimedes - Wikipedia.txt,1043,1533,1276,1053,855,690,2957
Algorithm - Wikipedia.txt,970,2321,2013,1589,1114,1037,4549
Louis Armstrong - Wikipedia.txt,882,1742,2191,1949,1633,1098,3509
Car - Wikipedia.txt,1069,1046,1380,1234,916,820,3162
Universe - Wikipedia.txt,1436,2041,2275,1623,1269,1227,4810
Botany - Wikipedia.txt,1427,1877,1823,1620,1410,1408,5524
New York City - Wikipedia.txt,2727,4539,6116,5401,3508,3983,10758
World War II - Wikipedia.txt,1640,3017,3941,2927,2514,3059,8422
Confucianism - Wikipedia.txt,1742,1760,1764,1315,1063,1025,4429
Isaac Newton - Wikipedia.txt,1558,2285,2171,1727,1573,1584,5085
Han dynasty - Wikipedia.txt,1352,2425,3193,2469,2051,1487,6028
Milk - Wikipedia.txt,1661,2682,2447,2444,1544,1321,5289
Aristotle - Wikipedia.txt,2092,2625,2354,1911,1654,1630,6271
Judaism - Wikipedia.txt,1753,3139,3729,2635,2047,2208,7349
Renaissance - Wikipedia.txt,846,1914,2235,1455,1201,1129,4724
Rome - Wikipedia.txt,1956,2975,3733,2871,2464,1877,6514
South Korea - Wikipedia.txt,2361,3522,3842,2975,3421,2865,8287
Atom - Wikipedia.txt,1022,1919,1729,1576,1167,1203,4254
Bronze Age - Wikipedia.txt,954,1512,1965,1407,1070,1255,3446
Tax - Wikipedia.txt,947,2320,2491,1783,1389,1348,4671
Quantum mechanics - Wikipedia.txt,2000,2254,1689,1298,1011,974,5308
Classical music - Wikipedia.txt,1044,1310,1576,1237,1305,993,3911
Homer - Wikipedia.txt,1133,662,774,711,757,575,2373
Italy - Wikipedia.txt,2282,3423,3962,2518,2841,2428,9043
Mathematical optimization - Wikipedia.txt,1094,1028,792,603,478,519,2815
United Kingdom - Wikipedia.txt,2922,4954,5410,3698,3390,3297,11673
Classical mechanics - Wikipedia.txt,1537,1210,797,583,465,555,2310
Henry Ford - Wikipedia.txt,910,1576,1961,1977,1350,972,3481
British Empire - Wikipedia.txt,1313,2027,2628,1710,1671,1585,5527
Book - Wikipedia.txt,837,1410,1381,1279,1149,819,2718
Benjamin Franklin - Wikipedia.txt,2663,3526,3367,2560,2130,2003,8033
Quran - Wikipedia.txt,1720,2469,2643,1883,1811,1392,4958
Clothing - Wikipedia.txt,444,682,707,772,540,540,2005
Delhi - Wikipedia.txt,1641,2114,2189,1837,2327,1662,5126
Marco Polo - Wikipedia.txt,524,1271,1311,1413,1155,688,2454
Molecule - Wikipedia.txt,650,453,397,347,305,273,1544
Africa - Wikipedia.txt,2318,1754,1861,1518,1500,1583,5175
Spanish language - Wikipedia.txt,2047,2368,1819,1469,1205,1444,5865
Pythagoras - Wikipedia.txt,1413,1258,1360,1196,771,679,3360
Proton - Wikipedia.txt,997,937,836,717,494,600,1914
World Health Organization - Wikipedia.txt,1066,1264,1591,887,781,1205,3631
Feminism - Wikipedia.txt,1335,2083,2255,1828,1766,1723,6405
Cereal - Wikipedia.txt,553,342,417,408,393,286,991
Acid–base reaction - Wikipedia.txt,458,655,605,546,352,252,1207
Slavery - Wikipedia.txt,2297,3198,3029,2708,2786,2526,7754
Drawing - Wikipedia.txt,425,628,651,543,432,331,1490
Albert Einstein - Wikipedia.txt,1380,2492,2542,2116,1619,1646,6332
Mahatma Gandhi - Wikipedia.txt,2291,4151,4565,3675,3390,3831,10303
Hinduism - Wikipedia.txt,2990,3878,4302,3632,3703,2861,11473
Russian Empire - Wikipedia.txt,1466,2124,2616,1685,1428,1430,5017
Family - Wikipedia.txt,1335,2116,1887,1550,1363,1568,4892
