Article_Name,1,2,3,4,5,6,7,8,9,10
Ludwig van Beethoven - Wikipedia.txt,641,1393,1687,1248,1004,897,782,635,646,897
Wolfgang Amadeus Mozart - Wikipedia.txt,554,1127,1324,993,879,968,774,583,454,726
Henry Ford - Wikipedia.txt,910,1576,1961,1977,1350,972,1060,830,551,1040
Johannes Gutenberg - Wikipedia.txt,318,773,860,719,523,431,408,409,314,516
Thomas Aquinas - Wikipedia.txt,1812,2967,2542,1928,1705,1822,1770,1300,1077,1972
Suleiman the Magnificent - Wikipedia.txt,778,1331,1566,1089,958,932,957,709,501,745
Benjamin Franklin - Wikipedia.txt,2663,3526,3367,2560,2130,2003,2074,2436,1314,2209
Roald Amundsen - Wikipedia.txt,901,628,811,717,609,448,466,446,305,501
Marco Polo - Wikipedia.txt,524,1271,1311,1413,1155,688,775,616,392,671
Pythagoras - Wikipedia.txt,1413,1258,1360,1196,771,679,738,681,526,1415
Dmitri Mendeleev - Wikipedia.txt,899,882,852,604,630,525,545,478,453,708
Mary Wollstonecraft - Wikipedia.txt,1535,1936,2096,1567,1476,1523,1180,913,706,1501
Albert Einstein - Wikipedia.txt,1380,2492,2542,2116,1619,1646,1524,1563,1185,2060
Mahatma Gandhi - Wikipedia.txt,2291,4151,4565,3675,3390,3831,2990,2335,1676,3302
Kahlil Gibran - Wikipedia.txt,402,627,734,519,490,669,437,314,229,366
Salvador Dalí - Wikipedia.txt,833,2200,2195,2401,1512,1293,1137,989,769,1215
Voltaire - Wikipedia.txt,1822,3033,2865,2010,1831,1706,1642,1550,1092,1873
Friedrich Nietzsche - Wikipedia.txt,1529,2920,2876,2415,1820,1714,1796,1390,1659,2492
Carl Friedrich Gauss - Wikipedia.txt,681,1185,1163,976,974,727,626,550,524,1050
Joseph Stalin - Wikipedia.txt,1966,3414,3961,4537,2886,3448,2916,2200,1872,3235
Emmy Noether - Wikipedia.txt,986,1931,2215,1594,1264,1042,1247,940,703,1685
Augustus - Wikipedia.txt,2955,3202,3509,2364,1949,2058,1779,1995,1201,1679
Avicenna - Wikipedia.txt,1792,2028,2242,1670,1534,1184,1406,1268,895,1842
Catherine the Great - Wikipedia.txt,1998,2584,2773,1878,1567,1422,1354,1072,1091,1465
Rembrandt - Wikipedia.txt,1233,1456,1787,1267,1113,827,827,742,695,969
Ernest Hemingway - Wikipedia.txt,990,2050,2391,2234,1817,1414,1074,883,854,969
Laozi - Wikipedia.txt,643,645,725,550,509,458,424,317,277,510
John Locke - Wikipedia.txt,1282,1293,1173,1081,1030,1071,1004,850,659,1286
Nagarjuna - Wikipedia.txt,699,680,646,508,473,436,411,411,408,819
Confucius - Wikipedia.txt,940,1541,1571,1297,939,814,781,805,721,1058
Muhammad ibn Musa al-Khwarizmi - Wikipedia.txt,1068,894,1055,717,623,504,543,484,382,911
